"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"David Amess","@amessd_southend","Conservative","Southend West",7739,-5
"David Davis ","@DavidDavisMP","Conservative","Haltemprice and Howden",188705,7
"David Duguid","@david_duguid","Conservative","Banff and Buchan",6406,7
"David Evennett ","@DavidEvennettMP","Conservative","Bexleyheath and Crayford",14715,-2
"David Johnston","@david4wantage","Conservative","Wantage",2950,0
"David Jones ","@DavidJonesMP","Conservative","Clwyd West",17655,2
"David Lammy ","@DavidLammy","Labour","Tottenham",765152,109
"David Linden","@DavidLinden","Scottish National Party","Glasgow East",12942,-3
"David Morris ","@davidmorrisml","Conservative","Morecambe and Lunesdale",14651,-1
"David Mundell ","@DavidMundellDCT","Conservative","Dumfriesshire, Clydesdale and Tweeddale",16946,1
"David Rutley ","@DavidRutley","Conservative","Macclesfield",13931,4
"David Simmonds","@DSimmonds_RNP","Conservative","Ruislip, Northwood and Pinner",4023,1
"David T. C. Davies ","@DavidTCDavies","Conservative","Monmouth",15990,1
"David Warburton ","@DJWarburton","Conservative","Somerton and Frome",16819,8
"Dawn Butler ","@DawnButlerBrent","Labour","Brent Central",240939,-8
"Dean Russell","@dean4watford","Conservative","Watford",4468,2
"Debbie Abrahams ","@Debbie_abrahams","Labour","Oldham East and Saddleworth",53425,0
"Dehenna Davison","@DehennaDavison","Conservative","Bishop Auckland",51150,47
"Deidre Brock ","@DeidreBrock","Scottish National Party","Edinburgh North and Leith",17055,0
"Derek Thomas ","@DerekThomasUK","Conservative","St Ives",5996,0
"Derek Twigg ","@DerekTwiggMP","Labour","Halton",7067,0
"Desmond Swayne ","@DesmondSwayne","Conservative","New Forest West",62320,-18
"Diana Johnson ","@DianaJohnsonMP","Labour","Kingston upon Hull North",29311,-2
"Diane Abbott ","@HackneyAbbott","Labour","Hackney North and Stoke Newington",391006,61
"Dominic Raab","@DominicRaab","Conservative","Esher and Walton",343753,37
"Douglas Chapman ","@DougChapmanSNP","Scottish National Party","Dunfermline and West Fife",15171,-3
"Douglas Ross","@Douglas4Moray","Conservative","Moray",39800,20
"Dr Alan Whitehead ","@alanwhiteheadmp","Labour","Southampton, Test",8572,-3
"Dr Andrew Murrison ","@AWMurrison","Conservative","South West Wiltshire",16357,-4
"Dr Caroline Johnson ","@drcarolinej","Conservative","Sleaford and North Hykeham",6946,-1
"Dr Liam Fox ","@LiamFox","Conservative","North Somerset",105247,20
"Dr Philippa Whitford ","@Dr_PhilippaW","Scottish National Party","Central Ayrshire",39458,-2
"Dr Rosena Allin-Khan ","@DrRosena","Labour","Tooting",204744,-10
"Dr Rupa Huq ","@RupaHuq","Labour","Ealing Central and Acton",48583,6
"Dr Thérèse Coffey ","@theresecoffey","Conservative","Suffolk Coastal",28089,2
"Drew Hendry ","@drewhendrySNP","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey",16176,0
"Duncan Charles Baker","@duncancbaker","Conservative","North Norfolk",4113,5
"Eddie Hughes","@EddieHughes4WN","Conservative","Walsall North",12544,3
"Edward Argar",,"Conservative","Charnwood",,
"Edward Davey","@EdwardJDavey","Liberal Democrat","Kingston and Surbiton",78926,121
"Edward Leigh ","@EdwardLeighMP","Conservative","Gainsborough",16045,0
"Edward Miliband ","@Ed_Miliband","Labour","Doncaster North",776582,5
"Edward Timpson","@edwardtimpson","Conservative","Eddisbury",6736,-1
"Eleanor Laing ","@eleanor4epping","Conservative","Epping Forest",13423,14
"Elizabeth Truss ","@trussliz","Conservative","South West Norfolk",206457,333
"Ellie Reeves","@elliereeves","Labour","Lewisham West and Penge",25027,-6
"Elliot Colburn","@ElliotColburn","Conservative","Carshalton and Wallington",8238,9
"Emily Thornberry ","@EmilyThornberry","Labour","Islington South and Finsbury",241456,10
"Emma Hardy","@EmmaHardyMP","Labour","Kingston upon Hull West and Hessle",29691,4
"Emma Lewell-Buck ","@EmmaLewellBuck","Labour","South Shields",27278,3
"Esther McVey","@EstherMcVey1","Conservative","Tatton",74440,2
"Fabian Hamilton","@FabianLeedsNE","Labour","Leeds North East",7050,-2
"Fay Alicia Jones","@JonesyFay","Conservative","Brecon and Radnorshire",6924,5
"Felicity Buchan","@FelicityBuchan","Conservative","Kensington",6881,0
"Feryal Clark","@FeryalClark","Labour","Enfield North",11889,11
"Fiona Bruce","@UK_FoRBEnvoy","Conservative","Congleton",2081,3
"Fleur Anderson","@PutneyFleur","Labour","Putney",16059,3
"Flick Drummond ",,"Conservative","Meon Valley",,
"Florence Eshalomi","@FloEshalomi","Labour","Vauxhall",27443,0
"Francie Molloy ","@FrancieMolloy","Sinn Féin","Mid Ulster",8008,2
"Gagan Mohindra","@gaganmohindra","Conservative","South West Hertfordshire",4510,4
"Gareth Bacon","@GarethBaconMP","Conservative","Orpington",6067,0
"Gareth Davies","@GarethDavies_MP","Conservative","Grantham and Stamford",7205,3
"Gareth Johnson",,"Conservative","Dartford",,
"Gareth Thomas ","@GarethThomasMP","Labour","Harrow West",17572,0
"Gary Sambrook","@GarySambrook89","Conservative","Birmingham, Northfield",5460,4
"Gary Streeter ","@garystreeterSWD","Conservative","South West Devon",5590,1
"Gavin Newlands ","@GavNewlandsSNP","Scottish National Party","Paisley and Renfrewshire North",14629,1
"Gavin Robinson ","@GRobinsonDUP","Democratic Unionist Party","Belfast East",14881,-1
